Matematik 2c;Klass;Lärare;Blackebergs gymnasium;;;
;;;Lektionsinnehåll;Sidor;Läxa;Video
;;;Kvadreringsreglerna och konjugatregleln ;13-Nov;;
;;;Faktorisering av uttryck ;13-14;;
;;;Grafisk lösning av andragradsekvationer ;15-18;;
;;;Algebraisk lösning av enkla andragrads-ekvationer ;19-20;;
;;;Andragradsekvationer och komplexa ;21-23;;
;;;Andragradsekvation i faktorform ;24-25;;
;;;Kvadratkomplettering ;26-28;;
;;;Pq-formeln ;29-32;;
;;;Blandade andragradsfunktioner 30 min + Lösningar till en andragradsekvation 50 min;33-35;;
;;;Rotekvationer 45 min;36-38;;
;;;Andragradsfunktionen och grafen ;39-44;;
;;;Andragradsfunktioner och kvadratkomplettering ;45-47;;
;;;Från graf till ekvation 40 min + räta linjens ekvation 40 min;60-62, 63-65;;
;;;Parallella och vinkelräta linjer ;66-69;;
;;;Grafisk lösning av ett ekvationssystem 30 min + substitutionsmetoden 45 min;70-73;;
;;;Substitutionsmetoden;74-75;;
;;;Additionsmetoden;77-79;;
;;;Ekvationssystem med tre obekanta;80-82;;
;;;Grafisk lösning av exponentialekvationer ;94-97;;
;;;Tiologaritmer ;98-100;;
;;;Räkneregler för logaritmer ;105-107;;
;;;Exponentialekvationer och tiologaritmer ;101-104;;
;;;Naturvetenskapliga tillämpningar;108-110;;
;;;Logaritmer med andra baser;111-113;;
;;;Avståndsformeln ;126-127;;
;;;Problemlösning med hjälp av analytisk geometri ;134-137;;
;;;Satser om vinklar i cirkeln ;138-141;;
;;;Likformiga trianglar och månghörningar ;142-145;;
;;;Topptriangel-, transversal- och bisektrissatsen ;146-149;;
;;;Kongruenta trianglar;150-154;;
;;;Lägesmått;166-168;;
;;;Spridning kring medelvärdet;173-175;;
;;;Spridning kring medianen;169-172;;
;;;Granska statistik;Ma1c s. 197-204;;
;;;Normalfördelningen;176-179;;
;;;Korrelation;180-182;;
;;;Regressionsanalys;183-184;;